Tdiv	N1	N2	Nadm	s	Fonset	Tonset	admrate	Tadm	SELCOEFF	PP1N1	PP2N2	TONSET1	TSPLIT1	TSPLIT2	TONSET2	TSAMPLE	ALPHA1	ALPHA2
1000	1000	1000	1000	0.01	0.125	565	0.05	10	0.1	100	100	4045	4100	4101	4102	4102	0.05	0.95
1500	1000	1000	1000	0.01	0.125	565	0.05	10	0.1	100	100	4095	4150	4151	4152	4152	0.05	0.95
2000	1000	1000	1000	0.01	0.125	565	0.05	10	0.1	100	100	4145	4200	4201	4202	4202	0.05	0.95
1000	10000	1000	1000	0.01	0.125	796	0.05	10	0.1	1000	100	4022	4100	4101	4102	4102	0.05	0.95
1500	10000	1000	1000	0.01	0.125	796	0.05	10	0.1	1000	100	4072	4150	4151	4152	4152	0.05	0.95
2000	10000	1000	1000	0.01	0.125	796	0.05	10	0.1	1000	100	4122	4200	4201	4202	4202	0.05	0.95
1000	1000	10000	1000	0.01	0.125	565	0.05	10	0.1	100	1000	4045	4100	4101	4102	4102	0.05	0.95
1500	1000	10000	1000	0.01	0.125	565	0.05	10	0.1	100	1000	4095	4150	4151	4152	4152	0.05	0.95
2000	1000	10000	1000	0.01	0.125	565	0.05	10	0.1	100	1000	4145	4200	4201	4202	4202	0.05	0.95
1000	10000	10000	1000	0.01	0.125	796	0.05	10	0.1	1000	1000	4022	4100	4101	4102	4102	0.05	0.95
1500	10000	10000	1000	0.01	0.125	796	0.05	10	0.1	1000	1000	4072	4150	4151	4152	4152	0.05	0.95
2000	10000	10000	1000	0.01	0.125	796	0.05	10	0.1	1000	1000	4122	4200	4201	4202	4202	0.05	0.95
1000	1000	1000	10000	0.01	0.125	565	0.05	10	0.1	100	100	4045	4100	4101	4102	4102	0.05	0.95
1500	1000	1000	10000	0.01	0.125	565	0.05	10	0.1	100	100	4095	4150	4151	4152	4152	0.05	0.95
2000	1000	1000	10000	0.01	0.125	565	0.05	10	0.1	100	100	4145	4200	4201	4202	4202	0.05	0.95
1000	10000	1000	10000	0.01	0.125	796	0.05	10	0.1	1000	100	4022	4100	4101	4102	4102	0.05	0.95
1500	10000	1000	10000	0.01	0.125	796	0.05	10	0.1	1000	100	4072	4150	4151	4152	4152	0.05	0.95
2000	10000	1000	10000	0.01	0.125	796	0.05	10	0.1	1000	100	4122	4200	4201	4202	4202	0.05	0.95
1000	1000	10000	10000	0.01	0.125	565	0.05	10	0.1	100	1000	4045	4100	4101	4102	4102	0.05	0.95
1500	1000	10000	10000	0.01	0.125	565	0.05	10	0.1	100	1000	4095	4150	4151	4152	4152	0.05	0.95
2000	1000	10000	10000	0.01	0.125	565	0.05	10	0.1	100	1000	4145	4200	4201	4202	4202	0.05	0.95
1000	10000	10000	10000	0.01	0.125	796	0.05	10	0.1	1000	1000	4022	4100	4101	4102	4102	0.05	0.95
1500	10000	10000	10000	0.01	0.125	796	0.05	10	0.1	1000	1000	4072	4150	4151	4152	4152	0.05	0.95
2000	10000	10000	10000	0.01	0.125	796	0.05	10	0.1	1000	1000	4122	4200	4201	4202	4202	0.05	0.95
500	1000	1000	1000	0.05	0.125	113	0.05	10	0.5	100	100	4041	4050	4051	4052	4052	0.05	0.95
1000	1000	1000	1000	0.05	0.125	113	0.05	10	0.5	100	100	4091	4100	4101	4102	4102	0.05	0.95
1500	1000	1000	1000	0.05	0.125	113	0.05	10	0.5	100	100	4141	4150	4151	4152	4152	0.05	0.95
2000	1000	1000	1000	0.05	0.125	113	0.05	10	0.5	100	100	4191	4200	4201	4202	4202	0.05	0.95
500	10000	1000	1000	0.05	0.125	159	0.05	10	0.5	1000	100	4036	4050	4051	4052	4052	0.05	0.95
1000	10000	1000	1000	0.05	0.125	159	0.05	10	0.5	1000	100	4086	4100	4101	4102	4102	0.05	0.95
1500	10000	1000	1000	0.05	0.125	159	0.05	10	0.5	1000	100	4136	4150	4151	4152	4152	0.05	0.95
2000	10000	1000	1000	0.05	0.125	159	0.05	10	0.5	1000	100	4186	4200	4201	4202	4202	0.05	0.95
500	1000	10000	1000	0.05	0.125	113	0.05	10	0.5	100	1000	4041	4050	4051	4052	4052	0.05	0.95
1000	1000	10000	1000	0.05	0.125	113	0.05	10	0.5	100	1000	4091	4100	4101	4102	4102	0.05	0.95
1500	1000	10000	1000	0.05	0.125	113	0.05	10	0.5	100	1000	4141	4150	4151	4152	4152	0.05	0.95
2000	1000	10000	1000	0.05	0.125	113	0.05	10	0.5	100	1000	4191	4200	4201	4202	4202	0.05	0.95
500	10000	10000	1000	0.05	0.125	159	0.05	10	0.5	1000	1000	4036	4050	4051	4052	4052	0.05	0.95
1000	10000	10000	1000	0.05	0.125	159	0.05	10	0.5	1000	1000	4086	4100	4101	4102	4102	0.05	0.95
1500	10000	10000	1000	0.05	0.125	159	0.05	10	0.5	1000	1000	4136	4150	4151	4152	4152	0.05	0.95
2000	10000	10000	1000	0.05	0.125	159	0.05	10	0.5	1000	1000	4186	4200	4201	4202	4202	0.05	0.95
500	1000	1000	10000	0.05	0.125	113	0.05	10	0.5	100	100	4041	4050	4051	4052	4052	0.05	0.95
1000	1000	1000	10000	0.05	0.125	113	0.05	10	0.5	100	100	4091	4100	4101	4102	4102	0.05	0.95
1500	1000	1000	10000	0.05	0.125	113	0.05	10	0.5	100	100	4141	4150	4151	4152	4152	0.05	0.95
